staSeq,type,rationale
15499,Trail Cam,Trend Monitoring Network
16057,Trail Cam,Pre Streamflow Release Monitoring
16278,Trail Cam,Pre Streamflow Release Monitoring
17010,Trail Cam,Pre Streamflow Release Monitoring
16606,Trail Cam,Pre Streamflow Release Monitoring
19704,Trail Cam,Pre Streamflow Release Monitoring
19468,Trail Cam,Pre Streamflow Release Monitoring
16276,Trail Cam,Pre Streamflow Release Monitoring
14164,Trail Cam,Pre Streamflow Release Monitoring
14289,Trail Cam,Streamflow Release Monitoring
16285,Trail Cam,IWQR Flow Impaired Monitoring
15757,Trail Cam,IWQR Flow Impaired Monitoring
19012,Trail Cam,IWQR Flow Impaired Monitoring
15854,Trail Cam,IWQR Flow Impaired Monitoring
20623,Trail Cam,IWQR Flow Impaired Monitoring
14163,Trail Cam,IWQR Flow Impaired Monitoring
15014,Temperature,Headwater Monitoring
17013,Temperature,Headwater Monitoring
16522,Temperature,Headwater Monitoring
19838,Temperature,Headwater Monitoring
18006,Temperature,Headwater Monitoring
16057,Temperature,Pre Streamflow Release Monitoring
16278,Temperature,Pre Streamflow Release Monitoring
17010,Temperature,Pre Streamflow Release Monitoring
16606,Temperature,Pre Streamflow Release Monitoring
19704,Temperature,Pre Streamflow Release Monitoring
19468,Temperature,Pre Streamflow Release Monitoring
16276,Temperature,Pre Streamflow Release Monitoring
14164,Temperature,Pre Streamflow Release Monitoring
20778,Biological,Probabilistic Monitoring
20779,Biological,Probabilistic Monitoring
20780,Biological,Probabilistic Monitoring
20781,Biological,Probabilistic Monitoring
20782,Biological,Probabilistic Monitoring
20783,Biological,Probabilistic Monitoring
15014,Biological,Headwater Monitoring
17013,Biological,Headwater Monitoring
16522,Biological,Headwater Monitoring
19838,Biological,Headwater Monitoring
18006,Biological,Headwater Monitoring
16057,Biological,Pre Streamflow Release Monitoring
16278,Biological,Pre Streamflow Release Monitoring
17010,Biological,Pre Streamflow Release Monitoring
16606,Biological,Pre Streamflow Release Monitoring
19704,Biological,Pre Streamflow Release Monitoring
19468,Biological,Pre Streamflow Release Monitoring
16276,Biological,Pre Streamflow Release Monitoring
14164,Biological,Pre Streamflow Release Monitoring
15680,Biological,Headwater Monitoring
14391,Biological,Pre Dam Removal Monitoring
14391,Temperature,Pre Dam Removal Monitoring
14392,Biological,TP Implementation Monitoring
14568,Biological,Pre Dam Removal Monitoring
14568,Temperature,Pre Dam Removal Monitoring
16139,Biological,Trend Monitoring Network
15796,Biological,Trend Monitoring Network
15499,Biological,Trend Monitoring Network
14461,Biological,TP Implementation Monitoring
14441,Biological,Trend Monitoring Network
15240,Biological,Trend Monitoring Network
14147,Biological,Trend Monitoring Network
14470,Biological,Trend Monitoring Network
14444,Biological,Trend Monitoring Network
14450,Biological,Trend Monitoring Network
14442,Biological,Trend Monitoring Network
14456,Biological,Impaired Water Monitoring
