staSeq,locationName,ylat,xlong,type
18929,Beachdale Pond,41.5793,-71.86052,Lake
18948,Stillwater Pond,41.83487,-73.14888,Lake
14683,Lake Lillinonah,41.4793,-73.3495,Lake
15675,Lake Beseck,41.517,-72.729,Lake
Needs-BPP,Batterson Park Pond,41.71049,-72.78725,Lake
Needs-BP,Ball Pond,41.462953,-73.523721,Lake
18475,Lower Bolton Lake,41.798303,-72.428591,Lake
18713,Housatonic River,41.424144,-73.206937,Lake
18770,Lake Pocotopaug,41.59064,-72.506485,Lake
Needs-LP,Long Pond,41.44948,-71.94939,Lake
Needs-QL1,Quonnipaug Lake,41.39256,-72.69741,Lake
Needs-QL2,Quonnipaug Lake,41.39256,-72.69741,Lake
19918,Housatonic River,41.343441,-73.124386,Lake
20083,Glasgo Pond,41.558239,-71.886804,Lake
20215,Uncas Lake,41.372832,-72.322231,Lake
20254,Rainbow Reservoir,41.91411,-72.70472,Lake
20274,Pachaug Pond,41.582845,-71.928841,Lake
20396,Bantam Lake,41.693729,-73.231325,Lake
20414,Lake Zoar,41.427688,-73.236089,Lake
20415,Coventry (Wangumbaug) Lake Boat Launch,41.765319,-72.309495,Lake
20419,Middle Bolton Lake,41.819467,-72.423353,Lake
20768,Dooley Pond,41.512951,-72.666611,Lake
20916,Avery Pond,41.495651,-71.979631,Lake
21051,Housatonic River,41.340675,-73.124116,Lake
21054,Lake Lillinonah,41.459772,-73.324789,Lake
21055,Roseland Lake,41.953414,-71.955677,Lake
Needs-RL,Roseland Lake,41.953414,-71.955677,Lake
Needs-AL,Ashford Lake,41.897874,-72.126413,Lake
14470,Tankerhoosen River,41.8272,-72.464,Biological
15499,West Branch Salmon Brook,41.94096,-72.834302,Biological
15796,Pendleton Hill Brook,41.4748,-71.8342,Biological
16139,Brown Brook,41.9267,-73.2799,Biological
15036,Chestnut Brook,41.9145,-72.5472,Chem Only
17305,Broad Brook,41.9364,-72.4521,Chem Only
17574,Creamery Brook,41.9256,-72.5082,Chem Only
17955,Broad Brook,41.91539,-72.48455,Chem Only
17956,Kimballs Brook,41.914,-72.453,Chem Only
17957,Muddy Brook,41.917,-72.481,Chem Only
14147,Broad Brook,41.9147,-72.549,Biological
18411,Pequonnock River,41.312047,-73.2449,Biological
21056,Chase Brook,41.58932,-73.02229,Biological
21057,Durkee Brook,41.88437,-71.92908,Biological
21058,East Mountain Brook,41.86376,-72.99147,Biological
21059,Fry Brook,41.67616,-71.91183,Biological
21060,Mill River,41.37678,-72.90627,Biological
21061,NNT to Rockadundee Brook,42.0247,-72.37633,Biological
21062,Nonnewaug River,41.61195,-73.17218,Biological
21063,Noroton River,41.08533,-73.51582,Biological
21064,Salmon River,41.52977,-72.46978,Biological
21065,Sandy Brook,41.97714,-73.04454,Biological
21066,Tankerhoosen River,41.81939,-72.5028,Biological
14456,Steele Brook,41.5805,-73.0703,Chem Only
14799,Steele Brook,41.6042,-73.1127,Chem Only
14800,Steele Brook,41.6105,-73.1153,Chem Only
15131,Steele Brook,41.586,-73.077,Chem Only
14314,Natchaug River,41.8008,-72.1182,Biological
14341,Naugatuck River,41.7891,-73.1145,Biological
14441,Salmon River,41.5742,-72.4294,Biological
14442,Sandy Brook,41.974,-73.0406,Biological
16114,Rugg Brook,41.9328,-73.1214,Biological
16119,Day Pond Brook,41.5623,-72.4338,Biological
16124,Flat Brook,41.938249,-73.321123,Biological
16128,Stonehouse Brook,41.7812,-72.1509,Biological
20636,"Nonewaug River, NNT to",41.6344,-73.16997,Biological
15015,Seth Williams Brook,41.4399,-71.9741,Biological
20460,Safford Brook,41.935217,-72.048726,Biological
18981,Lyman Brook,41.63271,-72.45228,Biological
20922,Kettle Creek,41.18994,-73.3703,Biological
19807,Paulk Hill Brook,41.869345,-72.373284,Conductivity
16840,Metcalf Brook,41.8417,-72.3664,Conductivity
20801,Grapeville Brook,41.89645,-72.32619,Conductivity
20857,East Branch Farmington River,41.867615,-72.954411,Temperature
15680,Beaver Brook,41.9513,-72.9958,Temperature
19838,Hop Brook Trib,41.74183,-72.50152,Temperature
16913,"Chatfield Hollow Brook, tributary to",41.335825,-72.592364,Temperature
17013,Rose Brook,41.4797,-72.0119,Temperature
14568,Norwalk River,41.1978,-73.4356,Temperature
14391,Pequabuck River,41.6681,-72.9208,Temperature
16276,Latimer Brook,41.4375,-72.2253,Temperature
17707,West River,41.364,-72.9794,Temperature
15116,Branford River,41.3161,-72.7672,Temperature
20023,Hammonasset River,41.339982,-72.613523,Temperature
19240,Farm River,41.320175,-72.84583,Temperature
14161,Copps Brook,41.3641,-71.9347,Temperature
20922,Kettle Creek,41.189936,-73.370341,Temperature
21056,Chase Brook,41.58932,-73.02229,Temperature
21057,Durkee Brook,41.88437,-71.92908,Temperature
21058,East Mountain Brook,41.86376,-72.99147,Temperature
21059,Fry Brook,41.67616,-71.91183,Temperature
21060,Mill River,41.37678,-72.90627,Temperature
21061,NNT to Rockadundee Brook,42.0247,-72.37633,Temperature
21062,Nonnewaug River,41.61195,-73.17218,Temperature
21063,Noroton River,41.08533,-73.51582,Temperature
18411,Pequonnock River,41.312047,-73.2449,Temperature
21064,Salmon River,41.52977,-72.46978,Temperature
21065,Sandy Brook,41.97714,-73.04454,Temperature
21066,Tankerhoosen River,41.81939,-72.5028,Temperature
16124,Flat Brook,41.938249,-73.321123,Temperature
16127,Jakes Brook,41.864151,-73.167442,Temperature
16119,Day Pond Brook,41.5623,-72.4338,Temperature
14442,Sandy Brook,41.974,-73.0406,Temperature
14390,Pequabuck River,41.6742,-72.9619,Temperature
14461,Sandy Brook (Still River),41.9685,-73.0331,Conductivity
14441,Salmon River,41.5742,-72.4294,Conductivity
14880,Sages Ravine Brook,42.0495,-73.4301,Temperature
14523,Burton Brook,41.9667,-73.4341,Temperature
16387,Hurricane Brook,42.033,-72.9207,Temperature
15240,Hubbard Brook,42.0356,-72.9384,Temperature
17365,Farmington River,41.7842,-72.9234,Temperature
16066,Farmington River,41.914,-72.765,Temperature
15825,West Branch Farmington River,41.9168,-72.989,Temperature
15795,Farmington River,41.8579,-72.9583,Temperature
15792,West Branch Farmington River,41.9602,-73.0178,Temperature
14197,Farmington River,41.7508,-72.8717,Temperature
16370,Bunnell Brook,41.7807,-72.963,Temperature
15964,Thompson Brook,41.7681,-72.8497,Temperature
14584,Roaring Brook,41.904,-72.2891,Temperature
15783,Eagleville Brook,41.7882,-72.2776,Temperature
15304,Eagleville Brook,41.7938,-72.2752,Temperature
15092,Fenton River,41.8335,-72.2429,Temperature
15315,Burnhams Brook,41.4603,-72.3343,Temperature
15020,Eightmile River,41.43,-72.3392,Temperature
14129,Beacon Hill Brook,41.4684,-73.0501,Temperature
15397,Silvermine River,41.1483,-73.443,Temperature
14444,Saugatuck River,41.2945,-73.3948,Temperature
16431,Sprain Brook,41.5696,-73.2259,Temperature
15530,Weekeepeemee River,41.5575,-73.2155,Temperature
14800,Steele Brook,41.6105,-73.1153,Temperature
14456,Steele Brook,41.5805,-73.0703,Temperature
14450,Shepaug River,41.5489,-73.3308,Temperature
16335,Nonewaug River,41.5783,-73.1745,Temperature
14392,Pequabuck River,41.6738,-72.8977,Temperature
16110,Mott Hill Brook,41.6615,-72.5365,Temperature
15520,Bonemill Brook,41.925,-72.3162,Temperature
14147,Broad Brook,41.9147,-72.549,Temperature
14720,Green Fall River,41.4568,-71.8169,Temperature
14414,Quinnipiac River,41.4501,-72.8407,Temperature
14451,Shetucket River,41.7002,-72.1823,Temperature
14740,Quaker Brook,41.512349,-73.52695,Temperature
14706,Whitford Brook,41.3928,-71.9604,Temperature
16154,Wononscopomuc Lake,41.9553,-73.4448,Temperature
14470,Tankerhoosen River,41.8272,-72.464,Temperature
15499,West Branch Salmon Brook,41.94096,-72.834302,Temperature
15796,Pendleton Hill Brook,41.4748,-71.8342,Temperature
16139,Brown Brook,41.9267,-73.2799,Temperature
14161,Copps Brook,41.3641,-71.9347,Stream Connectivity
15091,Fenton River,41.8222,-72.2309,Stream Connectivity
15116,Branford River,41.3161,-72.7672,Stream Connectivity
15244,Cobble Brook,41.7217,-73.4572,Stream Connectivity
15499,West Branch Salmon Brook,41.94096,-72.834302,Stream Connectivity
15680,Beaver Brook,41.9513,-72.9958,Stream Connectivity
15755,Copps Brook,41.3824,-71.9278,Stream Connectivity
15796,Pendleton Hill Brook,41.4748,-71.8342,Stream Connectivity
15801,Mount Hope River,41.8436,-72.1694,Stream Connectivity
15854,Muddy River,41.4151,-72.8012,Stream Connectivity
16139,Brown Brook,41.9267,-73.2799,Stream Connectivity
16276,Latimer Brook,41.4375,-72.2253,Stream Connectivity
16285,Beaver Brook,41.3617,-73.064,Stream Connectivity
16583,Comstock Brook,41.2125,-73.4622,Stream Connectivity
